$(OWNED)	(ЕСТЬ)
$ChallengeComplete_HUDTitle_Weekly	ЕЖЕНЕДЕЛЬНОЕ ИСПЫТАНИЕ ПРОЙДЕНО!
$Challenge_Re_Rolls_Confirm	Потратить бесплатный заменитель на это испытание?
$Challenge_Re_Rolls_Tooltip_Confirm	Осталось бесплатных заменителей: {1}. Бесплатные заменители обновляются ежедневно.
$Challenge_Re_Roll_Tooltip_Confirm	Осталось бесплатных заменителей: {1}. Бесплатные заменители обновляются ежедневно.
$Challenge_Re_Rolls_Lucky_Dice_Confirm	Потратить 1 премиальный заменитель и заменить это испытание?
$Challenge_Re_Roll_Lucky_Dice_Tooltip_Confirm	Осталось премиальных заменителей: {1}.
$Challenge_Re_Rolls_Lucky_Dice_Tooltip_Confirm	Осталось премиальных заменителей: {1}.
$Challenge_Re_Rolls_Lucky_Dice_Use_Immediately	Потратить 1 премиальный заменитель немедленно?
$Challenge_Re_Rolls_Remaining	Осталось замен испытаний: {1}
$Challenge_Re_Rolls_Tooltip	Это испытание нельзя запустить повторно
$CHALLENGER	ПРЕТЕНДЕНТ
$ChallengeRefresh_DaysHoursMins	Закончится через {days} д. {hours} ч. {mins} м.
$ChallengeRefresh_HoursMins	Закончится через {hours} ч. {mins} мин.
$ChallengeRefresh_Mins	Закончится через {mins} мин.
$CHALLENGES	ИСПЫТАНИЯ
$Challenges_Character	Персонаж
$Challenges_Collections	Мир
$Challenges_Combat	Бой
$Challenges_Crime	Сообщество
$Challenges_Daily	Ежедневное
$Challenges_Economy	Питомцы
$Challenges_Event	События
$Challenges_Exploration	Не используется
$Challenges_Seasonal	Сезонное
$Challenges_Survival	Выживание
$Challenges_Tracker	Не используется3
$Challenges_Unsorted	Не используется4
$Challenges_Weekly	Еженедельное
$Challenges_Monthly	Ежемесячные
$ChallengeTrackerCountDaily	ЕЖЕДНЕВНОЕ ({1})
$ChallengeTrackerCountWeekly	ЕЖЕНЕДЕЛЬНОЕ ({1})
$ChallengeTrackerEmptyListNotice	(ОТСЛЕЖИВАЙТЕ И ПРОХОДИТЕ ИСПЫТАНИЯ, ЧТОБЫ ЗАРАБОТАТЬ НАГРАДЫ!)
$ChallengeTrackerHeader	ИСПЫТАНИЯ
$CHANGE	ИЗМЕНИТЬ
$Change sex	Изменить пол
$ChangedDLC_WarnReset	Активировано дополнение. Нужно перезапустить Fallout 76.
$ChangeName_InvalidName	В имени персонажа могут быть только буквы, цифры и пробелы.
$CHANGEICON	СМЕНИТЬ ЗНАЧОК
$CHANGESEX	ИЗМЕНИТЬ ПОЛ
$CHANGETARGET	ПОИСК ТОЧКИ ОБЗОРА
$CHANGEUSER	СМЕНИТЬ ПРОФИЛЬ
$CHANGEVIEW	ИЗМЕНИТЬ РЕЖИМ ВИДА
$Character	Персонаж
$CHARACTER	ПЕРСОНАЖ
$CharacterImageNotFound	Изображение не найдено! Выберите изображение профиля из фотогалереи.
$charge	Заряд
$CHARISMA	ХАРИЗМА
$Chat	Громкость чата
$ChatDesc	Регулирует громкость голосового чата, а также синтезированного голоса, используемого экранным диктором и для преобразования текста в речь.
$Choose	ВЫБРАТЬ
$Choose (#)	ВЫБРАТЬ (#)
$Choose 1 card:	Выберите 1 карту:
$CHOOSE COMPONENTS	ВЫБРАТЬ КОМПОНЕНТЫ
$ChooseCharacter	Выбрать персонажа
$ChromiumHttpError	Не удалось подключиться к службе управления атомами [{1}]
$CLAIM	ЗАБРАТЬ
$CLAIM_COUNTER_STRING	Всего получено наград: {1}
$CLAIMED	ПОЛУЧЕНО
$CLAIMEXCLUSIVE	ЗАБРАТЬ FALLOUT 1ST
$Claimable	Можно захватить
$Claimed by player	Захвачено игроком {1}
$CLAIMING	[ЗАХВАТЫВАЕТСЯ]
$Claiming	Захватывается
$CLEAR	ОЧИСТИТЬ
$CLEARNAME	УБРАТЬ НАЗВАНИЕ ПРЕДМЕТА
$CLEARTAGS	УБРАТЬ МЕТКИ
$ClearWaypoint	УБРАТЬ КОНТРОЛЬНУЮ ТОЧКУ
$CLICK TO ADD FRIEND	(НАЖМИТЕ, ЧТОБЫ ДОБАВИТЬ ДРУГА)
$CLOSE	ЗАКРЫТЬ
$CLOSE PARTY	ЗАКРЫТЬ ОТРЯД
$COLLAPSE	СВЕРНУТЬ
$COLLECTION	КОЛЛЕКЦИЯ
$Collections	Коллекции
$COLOR	ЦВЕТ
$Combat	Бой
$Combat With Other Players Enabled	Отключите режим пацифиста в настройках игры, чтобы активировать режим PvP
$COMINGSOON	СКОРО!
$COMING SOON	СКОРО
$COMINGSOONUNLOCKMESSAGE	ПОЯВИТСЯ ЧЕРЕЗ {1}
$Companion Enabled	Приложение "Пип-бой"
$Compass_East	В
$Compass_North	С
$Compass_South	Ю
$Compass_West	З
$COMPLEXION	ТИП ЛИЦА
$COMPONENT VIEW	ПРОСМОТР КОМПОНЕНТОВ
$COMPONENTS	КОМПОНЕНТЫ
$Comprehensive Font	Использовать специальный шрифт
$Confirm	Подтвердить
$CONFIRM	Подтвердить
$CONFIRM CHANGES	ПОДТВЕРДИТЬ ИЗМЕНЕНИЯ?
$CONFIRM_CHANGES	ПОДТВЕРДИТЬ ИЗМЕНЕНИЯ
$Confirm change preset	Выбрать нового персонажа и отменить изменения?
$Confirm change sex	Изменить пол персонажа и отменить изменения?
$Confirm character	Подтвердить?
$Confirm character changes	Подтвердить изменение персонажа?
$Confirm delete photo	Удалить эту фотографию?
$Confirm make profile photo	Изменить изображение профиля?
$Confirm_FOWDelete_Body	Удаление мира приведет к полному удалению прогресса всех персонажей в этом мире, включая персонажей других игроков. Это изменение нельзя будет отменить. Продолжить?
$Confirm_FOWDelete_Header	Подтвердить удаление мира
$Confirm_FOWReset_Body	Хотите вернуть все настройки в этой категории к значениям по умолчанию?
$Confirm_FOWReset_Header	Подтвердить сброс настроек
$ConfirmContinue	Продолжить с последнего сохранения?
$ConfirmDestroyLockedCraftable	Этот предмет нельзя выбросить, вместо этого он будет уничтожен. Вы пока не умеете изготавливать такие предметы. Вы уверены?
$ConfirmDestroyNonCraftable	Этот предмет нельзя выбросить, вместо этого он будет уничтожен. Такой предмет изготовить нельзя. Вы уверены?
$ConfirmDestroyNonCraftableFO1	Этот предмет нельзя выбросить, вместо этого он будет уничтожен. Такой предмет изготовить нельзя. Вы уверены?
$ConfirmDestroyNonCraftableMTX	Этот предмет нельзя выбросить, вместо этого он будет уничтожен. Его можно будет приобрести снова в Атомной лавке или получить во время сезонов. Вы уверены?
$ConfirmDestroyOnConsume	Этот предмет нельзя употребить — после этого он будет уничтожен. Вы уверены?
$ConfirmDestroyOnDropNonMTX	Этот предмет нельзя выбросить, вместо этого он будет уничтожен. Вы уверены?
$ConfirmDestroyOnDropRepairKitMtx	Этот предмет нельзя выбросить, вместо этого он будет уничтожен. Новый предмет можно приобрести в Атомной лавке. Вы уверены?
$ConfirmDestroyUnlockedCraftable	Этот предмет нельзя выбросить, вместо этого он будет уничтожен. Вы уже умеете изготавливать такие предметы. Вы уверены?
$ConfirmDon'tDropFavoritedItem	НЕ ВЫБРАСЫВАТЬ
$ConfirmDon'tScrapFavoritedItem	НЕ РАЗБИРАТЬ
$ConfirmDon'tScrapLegendaryItem	НЕ РАЗБИРАТЬ
$ConfirmDon'tSellFavoritedItem	НЕ ПРОДАВАТЬ
$ConfirmDon'tTradeFavoritedItem	НЕ ОБМЕНИВАТЬ
$ConfirmDropFavoritedItem	ВЫБРОСИТЬ ИЗБРАННЫЙ ПРЕДМЕТ
$ConfirmDropFavoritedItemPrompt	ВЫ УВЕРЕНЫ, ЧТО ХОТИТЕ ВЫБРОСИТЬ ЭТОТ ИЗБРАННЫЙ ПРЕДМЕТ?
$ConfirmFastTravel	Переместиться в выбранную точку?
$ConfirmFavoritedItemHeader	ЭТОТ ПРЕДМЕТ В СПИСКЕ ИЗБРАННОГО
$ConfirmLegendaryItemHeader	ЭТО ЛЕГЕНДАРНЫЙ ПРЕДМЕТ
$ConfirmPremiumItemHeader	Это премиальный предмет
$ConfirmLoad	Загрузить эту игру?
$ConfirmMsg_RejectQuest	Отменить это задание?
$ConfirmNew	Начать новую игру?
$ConfirmPerkSelect	Подтвердить выбор?
$CONFIRMPURCHASE	ПОДТВЕРДИТЬ ПОКУПКУ
$ConfirmPurchaseFor	Подтвердить покупку за ¢{1}
$CONFIRMSALE	ПОДТВЕРДИТЬ ПРОДАЖУ
$Confirm_CharacterDelete_Body	Удалить этого персонажа?
$Confirm_CharacterDelete_ToolTip	Вы уверены, что хотите удалить этого персонажа? Это действие нельзя будет отменить.
$Confirm_Reimport_Body	Хотите удалить текущего персонажа и загрузить его заново из режима приключения?
$Confirm_Reimport_ToolTip	Внимание! Учтите, что при этом будут потеряны все данные персонажа, в том числе связанные с C.A.M.P.
$Confirm_ScoreBooster_Activation_Header	Использовать увеличитель S.C.O.R.E.?
$Confirm_ScoreBooster_OneAvailableBoost	Осталось увеличителей S.C.O.R.E.: {1}.
$Confirm_ScoreBooster_MultipleAvailableBoosts	Осталось увеличителей S.C.O.R.E.: {1}.
$Confirm_ScoreBooster_Activation_Duration_Single	Вы будете получать на {1}% больше очков S.C.O.R.E. в течение {2} ч.	
$Confirm_ScoreBooster_Activation_Duration_Plural	Вы будете получать на {1}% больше очков S.C.O.R.E. в течение {2} ч.
$Confirm_ScoreBooster_Override_Duration_Single	Время действия увеличителя S.C.O.R.E. подходит к концу. Хотите использовать еще один? Тогда бонус будет действовать еще {1} ч.
$Confirm_ScoreBooster_Override_Duration_Plural	Время действия увеличителя S.C.O.R.E. подходит к концу. Хотите использовать еще один? Тогда бонус будет действовать следующие {1} ч.
$ConfirmScrapAll	Разобрать на части весь ваш хлам?
$ConfirmScrapAllStoreStashbox	Разобрать весь хлам и отправить его в ящик для разборки?
$ConfirmScrapFavoritedItem	РАЗОБРАТЬ ИЗБРАННЫЙ ПРЕДМЕТ
$ConfirmScrapFavoritedItemPrompt	ВЫ УВЕРЕНЫ, ЧТО ХОТИТЕ РАЗОБРАТЬ ЭТОТ ИЗБРАННЫЙ ПРЕДМЕТ?
$ConfirmScrapLegendaryItemPrompt	ВЫ УВЕРЕНЫ, ЧТО ХОТИТЕ РАЗОБРАТЬ ЭТОТ ЛЕГЕНДАРНЫЙ ПРЕДМЕТ?
$ConfirmScrapPremiumItemPrompt	Вы уверены, что хотите разобрать этот премиальный предмет?
$ConfirmScrapLegendaryItem	РАЗОБРАТЬ ЛЕГЕНДАРНЫЙ ПРЕДМЕТ
$ConfirmScrapPremiumItem	РАЗОБРАТЬ ПРЕМИАЛЬНЫЙ ПРЕДМЕТ
$ConfirmScrapToContainer	Разобрать весь хлам и отправить его в {1}?
$ConfirmScrapToContainer_Detail	Хлам, который не разбирается автоматически, будет помещен в тайник
$ConfirmScrapToContainerFull	Разобрать весь хлам? {1} полон, и хлам в него перенесен не будет.
$ConfirmScrapToContainerNearlyFull	Разобрать весь хлам и отправить его в {1}? {2} почти заполнен; возможно, часть хлама перенесена не будет.
$ConfirmSellFavoritedItem	ПРОДАТЬ ИЗБРАННЫЙ ПРЕДМЕТ
$ConfirmSellFavoritedItemPrompt	ВЫ УВЕРЕНЫ, ЧТО ХОТИТЕ ПРОДАТЬ ЭТОТ ИЗБРАННЫЙ ПРЕДМЕТ?
$ConfirmTrade	Подтвердить сделку?
$ConfirmTradeFavoritedItem	ОБМЕНЯТЬ ИЗБРАННЫЙ ПРЕДМЕТ
$ConfirmTradeFavoritedItemPrompt	ВЫ УВЕРЕНЫ, ЧТО ХОТИТЕ ОБМЕНЯТЬ ЭТОТ ИЗБРАННЫЙ ПРЕДМЕТ?
